% Model:              AluminaWithRodsOriginalParts.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 9 2026, 17:19
% Dimension:          1
% Nodes:              1000
% Expressions:        5
% Description:        Electric field norm, Electric potential, Electric field, x component, Electric field, y component, Electric field, z component
% cln2x                   es.normE (V/m)           V (V)                    es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
0.1075                    8.05485856560657         -0.8843314436829177      -1.1538734134380633      0.9937744514302409       7.909597650789252
0.3225                    7.929597902504126        -0.8860171832786568      -1.2308867233520857      0.9818888274578725       7.771700914226358
0.5375                    7.805541296713539        -0.887673275076035       -1.3079000332662147      0.9700032034855255       7.633804177663357
0.7525000000000001        7.682747075742743        -0.8892997190750521      -1.3849133431802394      0.958117579512642        7.495907441100366
0.9674999999999999        7.561276742773038        -0.890896515275708       -1.4619266530944905      0.9462319555406751       7.358010704537339
1.1824999999999999        7.441195131670633        -0.892463663678003       -1.5389399630086231      0.9343463315682428       7.2201139679743775
1.3975                    7.322570563007652        -0.894001164281937       -1.61595327292261        0.9224607075955475       7.082217231411306
1.6125                    7.205474999518678        -0.8955090170875099      -1.692966582836661       0.9105750836227458       6.944320494848469
1.8275000000000001        7.089984199064416        -0.896987222094722       -1.7699798927506265      0.8986894596506829       6.806423758285575
2.0425                    7.624282629067608        -0.8984340372318738      -3.3250309470096795      1.5577088256019351       6.681870847597388
2.2575000000000003        7.746912349053598        -0.8998797015346578      -3.4088432201995147      1.6165993612274576       6.766169178294163
2.4725                    7.869867462778489        -0.9013434899785404      -3.492655493389634       1.67548989685298         6.8504675089907785
2.6875                    7.993132954057456        -0.902825402563523       -3.5764677665794125      1.734380432478332        6.934765839687309
2.9025                    8.116694682106843        -0.904325439289606       -3.6602800397690487      1.7932709681037124       7.019064170383839
3.1175                    8.2405393212829          -0.9058436001567886      -3.744092312958827       1.8521615037292918       7.103362501080422
3.3325                    8.36465430549538         -0.9073798851650708      -3.8279045861484917      1.9110520393551553       7.18766083177707
3.5475000000000003        8.48902777690343         -0.9089342943144527      -3.9117168593385543      1.9699425749803083       7.2719591624736495
3.7625                    8.613648538534495        -0.9105068276049343      -3.9955291325283326      2.0288331106058024       7.356257493170315
3.9774999999999996        8.738506010498462        -0.9120974850365159      -4.079341405717997       2.0877236462312396       7.440555823866884
4.1925                    8.863590189500238        -0.9137062666091972      -4.163153678907747       2.1466141818567905       7.524854154563599
4.4075                    8.988891611375315        -0.9153331723229782      -4.246965952097611       2.2055047174821425       7.609152485260179
4.6225                    9.114401316404003        -0.9169782021778591      -4.330778225287503       2.2643952531077787       7.693450815956751
4.8374999999999995        9.24011081717344         -0.9186413561738397      -4.414590498477168       2.3232857887333154       7.7777491466535835
5.0525                    9.366012068782556        -0.9203226343109199      -4.498402771667003       2.38217632435871         7.8620474773499005
5.2675                    10.778767944279814       -0.9223231424437441      -4.957816149260751       2.7644638760992066       9.162949137941666
5.4825                    10.578475262805418       -0.924254565041171       -5.12436869659415        2.8528180136101575       8.8037726985863
5.6975                    10.390165889599245       -0.9261087647041362      -5.290921243927713       2.941172151121119        8.444596259230849
5.9125                    10.214502600687384       -0.92788574143264        -5.457473791261041       3.0295262886320478       8.085419819875497
6.1275                    10.052148396435578       -0.9295854952266828      -5.624026338594621       3.117880426142861        7.72624338052016
6.342499999999999         9.903757833616885        -0.931208026086264       -5.790578885928213       3.206234563653698        7.367066941164751
6.5575                    9.769967190750656        -0.9327533340113836      -5.9571314332616865      3.294588701164564        7.007890501809271
6.7725                    9.651383653560474        -0.9342214190020417      -6.123683980595153       3.382942838675497        6.6487140624537915
6.9875                    9.548573809032474        -0.9356122810582386      -6.290236527928634       3.4712969761864017       6.289537623098568
7.202500000000001         9.462051837911103        -0.9369259201799741      -6.456789075262037       3.5596511136973277       5.930361183743116
7.4175                    9.392267884730849        -0.9381623363672483      -6.623341622595518       3.6480052512081755       5.571184744387665
7.632499999999999         9.339597148283799        -0.939321529620061       -6.7898941699291555      3.736359388718938        5.212008305032214
7.847499999999999         9.304330260925198        -0.9404034999384122      -6.956446717262594       3.8247135262298997       4.852831865676876
8.0625                    9.286665502480341        -0.9414082473223018      -7.122999264596075       3.913067663740847        4.493655426321425
8.2775                    9.286703319477768        -0.9423357717717304      -7.289551811929272       4.001421801251894        4.134478986966087
8.4925                    6.041337304284017        -0.9431905974343877      -1.3433700555034136      1.2565356534571208       5.7544966304361935
8.7075                    5.6979536536243245       -0.9443952677368453      -1.3716289783838818      0.9294377233109117       5.451738741263654
8.922500000000001         5.369776827553697        -0.9455348450931309      -1.3998879012640515      0.6023397931649939       5.1489808520907445
9.137500000000001         5.05976663896528         -0.9466093295032443      -1.4281468241446973      0.27524186301879183      4.846222962917963
9.3525                    4.771465354375707        -0.9476187209671857      -1.4564057470249239      -0.051856067127076244    4.54346507374521
9.567499999999999         4.509039003978516        -0.9485630194849547      -1.4846646699054062      -0.3789539972733067      4.2407071845725
9.782499999999999         4.277252830375832        -0.949442225056552       -1.5129235927858815      -0.7060519274193702      3.9379492953994877
9.9975                    4.081330510346776        -0.9502563376819766      -1.5411825156662236      -1.0331498575654061      3.6351914062267454
10.2125                   3.926644065685904        -0.9510053573612295      -1.5694414385467903      -1.3602477877115051      3.3324335170539356
10.4275                   3.8182085362973095       -0.9516892840943099      -1.597700361427016       -1.687345717857589       3.02967562788119
10.6425                   3.760027547623851        -0.9523081178812182      -1.6259592843074806      -2.0144436480035957      2.7269177387083943
10.8575                   3.754438149083941        -0.9528618587219545      -1.6542182071880163      -2.341541578149787       2.4241598495355703
11.0725                   3.8016723156884122       -0.9533505066165183      -1.682477130068385       -2.66863950829584        2.121401960362789
