% Model:              AluminaWithRodsOriginalRotated.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 9 2026, 17:50
% Dimension:          3
% Nodes:              527
% Expressions:        4
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        mm
% X                       Y                        Z                        V (V)                    es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
0                         0                        164.9461239261388        -0.19449665942914376     -10.110743102952314      6.667109409066793        -51.035580828277276
0                         0                        165.02798747138166       -0.19028487255712087     -9.951113206155153       6.56662396554541         -51.862173881339025
0                         0                        165.17555215054858       -0.1825218994693485      -17.422070971518902      5.86040493777863         -63.305308739499864
0                         0                        110.42410161750976       -0.47653630772914357     -4.956103759818205       -19.221200960825755      5.480175120755547
0                         0                        110.43882774468382       -0.47661709537908825     -4.903119058989262       -19.295080596152417      5.491838967329912
0                         0                        110.35245611447527       -0.4761457144336205      -5.213787091756728       -18.861611954361706      5.423282471673737
0                         0                        109.77911860385733       -0.47831306011329333     -10.416030415204773      18.248755274566065       0.28422863590464825
0                         0                        109.79044388422865       -0.4783164114767453      -10.34601337766054       18.583412285738646       0.630460756687647
0                         0                        212.88078922342103       0.9997992299670954       -4.7949229414712136E-4   8.532943159673678E-4     -0.005938136240089875
0                         0                        213.44316148433325       0.9998023457187973       -4.4143601077095695E-4   6.634889940928534E-4     -0.005142608379735236
0                         0                        214.2682797894879        0.9998061074373528       -4.287631694914751E-4    2.6180525809138544E-4    -0.004011458720279748
0                         0                        212.6823141171125        0.9997980235327897       -4.92923299617587E-4     9.202813172750623E-4     -0.0062188977349535435
0                         0                        214.8294647074972        0.9998080894503079       -2.698628627229027E-4    3.9797090757787146E-4    -0.0030522127774403884
0                         0                        215                      0.999808585104806        -2.2157555236645976E-4   4.3934951229118724E-4    -0.002760712984475333
0                         0                        214.82707416681174       0.9998080821489854       -2.7053974775270717E-4   3.973908678318594E-4     -0.0030562989822193742
0                         0                        214.81967134129312       0.9998080594768998       -2.726358682636487E-4    3.955946495892704E-4     -0.0030689527976193176
0                         0                        211.6867784006586        0.9997889686487336       -1.4483848503843433E-4   0.001174136051439234     -0.010700074846234031
0                         0                        211.7500761218155        0.9997896394813216       -1.2770477001033953E-4   0.0011356123629742143    -0.01049603066720195
0                         0                        211.67421025676052       0.9997888339140587       -5.31960322760483E-4     7.575599021549806E-4     -0.010493828881436684
0                         0                        211.45596315935217       0.999786483372554        -7.083178998641415E-4    6.620032971031975E-4     -0.010961905981559994
0                         0                        211.5184852707643        0.9997871690659539       -6.7095229930203E-4      7.320368641785535E-4     -0.010888071962085633
0                         0                        211.64483979430213       0.9997885246135151       -5.581748611049875E-4    7.527461378913358E-4     -0.010568184975028316
0                         0                        211.31454894445204       0.9997848674056597       -9.382941194644445E-4    7.292783185821605E-4     -0.011892471070751753
0                         0                        211.39370025035348       0.9997857880973391       -8.095735509527913E-4    6.916236470004833E-4     -0.011371622144224602
0                         0                        211.41656429861487       0.9997860463786512       -7.723906740579878E-4    6.80746527438103E-4      -0.011221167077593464
0                         0                        211.1201799477085        0.9997823565039881       -0.0015481167795883266   8.174911417029307E-4     -0.013293468150891385
0                         0                        210.3452379863697        0.9997708954500601       -4.330837041433E-4       0.0010324993466686028    -0.016285660350471964
0                         0                        210.56147946379681       0.9997743268101457       -7.442249399076672E-4    9.725029931573204E-4     -0.015450712581071002
0                         0                        210.02101381999165       0.9997654122991375       3.3429515326588444E-5    0.0011224555750999343    -0.017537548969016825
0                         0                        209.71179060841058       0.9997598046807359       4.7835845961685663E-4    0.001208249778045456     -0.01873151616666746
