% Model:              AluminaWithRodsOriginalRydberg.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 9 2026, 18:12
% Dimension:          3
% Nodes:              503
% Expressions:        4
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        mm
% X                       Y                        Z                        V (V)                    es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
0                         0                        184.93201025585114       0.956798428857047        -1.2832345553975415      0.4062334082209702       -8.635590396469354
0                         0                        185.1686895329667        0.9593083587762826       -0.4365917690879684      -0.1030208232919918      -10.380866685991947
0                         0                        214.77625079833396       0.9997989346075544       -2.4920474258749437E-4   -3.34893981733142E-4     -0.003481169904475223
0                         0                        214.94048735292432       0.9997994850101356       -2.282672259994456E-4    -3.7371234567107336E-4   -0.003221388883190457
0                         0                        212.7216898409657        0.9997884438757528       2.6475091637223613E-4    -3.2827327267348494E-4   -0.00860672134099616
0                         0                        213.54478087113566       0.999793448275876        -4.0619733256619384E-4   -4.382815916770255E-5    -0.0054290463457356
0                         0                        213.63061212483595       0.9997939084313544       -3.9525522949901415E-4   -6.411492692337539E-5    -0.005293282837921964
0                         0                        214.9643949814557        0.9997995615738606       -2.2521938832653632E-4   -3.793630670649861E-4    -0.0031835730134055495
0                         0                        214.96466690758416       0.9997995624394986       -2.251847219625347E-4    -3.794273386805713E-4    -0.0031831428945565676
0                         0                        215                      0.9997996739224311       -2.2068032156141726E-4   -3.8777854178562166E-4   -0.0031272548075804707
0                         0                        212.6679658990666        0.9997879776297534       2.2677693017669753E-4    -2.978154619661666E-4    -0.008750381763803716
0                         0                        212.71954892133562       0.9997884254433259       2.6323763857760696E-4    -3.270595173212598E-4    -0.008612446263725815
0                         0                        212.1545047878836        0.9997831321528519       -1.3615558108881487E-4   -6.718032105723637E-6    -0.010123401647405217
0                         0                        211.379935242111         0.9997744054719968       2.347232464714466E-4     3.5744406378057647E-4    -0.013014712242181758
0                         0                        211.696221998353         0.9997783173098077       3.611001525598567E-4     3.177254685340358E-4     -0.011607789799512602
0                         0                        212.1127704308204        0.9997827354651404       4.516565529470995E-4     7.85650278629646E-5      -0.009605375288884943
0                         0                        209.94466708599532       0.9997503735784318       -3.7822430573353216E-4   6.818493259928005E-4     -0.02047295828458573
0                         0                        210.24451341631863       0.9997562787207592       -2.501715279918937E-4    6.140768147204767E-4     -0.018914832928876635
0                         0                        210.37109401818105       0.9997586313415456       -1.9611384571227575E-4   5.854665420557126E-4     -0.018257067849297925
0                         0                        210.51766403195603       0.9997612514635622       -1.3351945822392963E-4   5.523381793040016E-4     -0.01749542953062644
0                         0                        210.24534771955794       0.9997562944996571       -2.4981522937839173E-4   6.138882419914893E-4     -0.01891049754477514
0                         0                        211.0678361003789        0.9997700905109023       1.0143776638926738E-4    4.2798600614446514E-4    -0.014636508265766679
0                         0                        210.64892880596744       0.9997635032289228       -7.746134697050877E-5    5.226691705360054E-4     -0.016813323558281468
0                         0                        209.7774404852457        0.9997468772970521       -3.2783710355133167E-4   4.788395698120951E-4     -0.02124094649343533
0                         0                        210.56462639873206       0.999762067360091        -1.134636465511818E-4    5.417235503983875E-4     -0.01725139367938766
0                         0                        209.34682539962557       0.999737304043323        -9.337973595791027E-5    2.052900036204619E-4     -0.02247255872060805
0                         0                        208.1323871270872        0.9997002860764277       -3.543172889735047E-4    -7.626415347576909E-4    -0.03849055110916311
0                         0                        208.3361340339216        0.9997078546378932       -3.1053966713301406E-4   -6.002511839611202E-4    -0.03580320464064357
0                         0                        208.39844426051638       0.9997100599388923       -2.971515202219166E-4    -5.505886899355161E-4    -0.03498135575976846
0                         0                        208.46513626320083       0.9997123635829912       -2.8282189281725323E-4   -4.974338327228267E-4    -0.03410171286996899
0                         0                        207.9903445771194        0.9996946857228363       -3.8483694257251955E-4   -8.758522813963054E-4    -0.04036403989471182
0                         0                        207.45006312140706       0.9996709527272768       -5.009233045569772E-4    -0.0013064673833582674   -0.047490152798900453
0                         0                        208.76824448030808       0.9997220941964127       -2.176952262686882E-4    -2.558505350807039E-4    -0.03010382740778539
0                         0                        209.03829535570765       0.9997297428181211       -1.5967135113470476E-4   -4.0614598342259E-5      -0.026541956076499673
0                         0                        206.50168198229778       0.9996199824084763       6.991162450873389E-4     0.0011028028837039017    -0.06236834934924218
0                         0                        202.49300157317828       0.9991781156133355       -0.009860218954059974    -0.010789827924881479    -0.1636771572969451
0                         0                        202.64494547821312       0.9992026775303706       -0.009311757187369096    -0.010490786368087868    -0.1596252750025542
0                         0                        202.7848856111437        0.9992247543998075       -0.00880662463528381     -0.010215369494780191    -0.15589349683892806
0                         0                        203.5717698051398        0.9993391686139497       -0.005966261311474597    -0.008666698790058547    -0.13490968618356192
0                         0                        204.19304313920992       0.9994178379401385       -0.003723692448900806    -0.007443967644903182    -0.11834221398532918
0                         0                        205.03672589371882       0.999508190445673        -6.783071542599828E-4    -0.005783511409703124    -0.09584375829285818
0                         0                        204.13944605667692       0.9994114568403416       -0.003917158258147424    -0.007549452329840278    -0.11977148533173931
0                         0                        202.1068137165608        0.9991129169133072       -0.00794228118846263     -0.007045306467290402    -0.18234924148022724
0                         0                        203.653243058679         0.9993500716388242       -0.005672172749456195    -0.008506350874156965    -0.13273704205280978
0                         0                        200.13157707340793       0.9986166475963583       -0.010455385748656454    0.0014376432215499335    -0.32014175742726625
0                         0                        200.70035626921253       0.9987874535461572       -0.009731724816418819    -0.0010050642481189698   -0.2804637185047678
0                         0                        201.2632928110515        0.9989342834347952       -0.00901549752515507     -0.0034226795644087815   -0.2411932631456537
0                         0                        201.74402551330104       0.9990421720183863       -0.008403858636143013    -0.0054872581766858275   -0.20765734795757052
0                         0                        201.11919539498433       0.9988988038581644       -0.009198833468673229    -0.0028038316230265536   -0.25124549945372987
0                         0                        201.8464603819187        0.9990630773790887       -0.008273530183373623    -0.0059271800660667395   -0.20051149112257605
0                         0                        200.73648940733543       0.998797542040978        -0.009685752424047678    -0.0011602434228734637   -0.27794307064802126
0                         0                        199.14395875183146       0.9982664481278904       -0.009184924430059027    0.014552684723810216     -0.40275508149488815
0                         0                        200.7740815550007        0.9988079412265748       -0.009637923725676956    -0.0013216885331530648   -0.2753206422799561
0                         0                        196.7063778437863        0.9969726804025552       -0.007632893504866997    -0.0018134611853142246   -0.656244555014716
0                         0                        196.84405496976615       0.9970620544716312       -0.0070962271450502185   -0.0015342542414558125   -0.6420694305583936
0                         0                        197.35163620984721       0.9973746937335507       -0.005117672069329119    -5.04887847021962E-4     -0.5898092805978674
0                         0                        197.92516829780894       0.9976960346334669       -0.002882040146333059    6.582257806186931E-4     -0.5307588851986225
0                         0                        198.24304157068474       0.9978595470235333       -0.0016429679982915835   0.0013028675423782943    -0.4980309126157749
0                         0                        198.24779748083935       0.9978619144494074       -0.0016244294286718447   0.0013125124498287732    -0.4975412479902701
0                         0                        197.67568043138687       0.9975604124258463       -0.0038545455219589977   1.5226849686555965E-4    -0.556445952180102
0                         0                        196.55116787409207       0.9968695845547615       -0.008237903006838437    -0.002128224447361049    -0.6722248467416705
0                         0                        196.45547493885513       0.9968047859803203       -0.008610914709880763    -0.002322288143886908    -0.6820773132054399
0                         0                        191.42637422690166       0.9900359487124439       -0.10283804544206987     -0.09677341479692814     -2.301190456289021
0                         0                        191.53917012578896       0.9903370041851293       0.14535678693601994      0.09862809396304328      -2.0639481114167353
0                         0                        191.9613087007783        0.9911870373933421       0.10225456906398733      0.11998836275199665      -1.9633228302832464
0                         0                        192.3550790329949        0.9919261390752165       6.087583029363852E-4     0.0455889456084293       -1.854243108494586
0                         0                        196.04890064682954       0.9965644039099544       -0.007345744027206558    -0.005320258841996939    -0.6571206332549195
0                         0                        196.3095269074883        0.9967246598021289       -0.007906992623982256    -0.008912277346446729    -0.5726548450035693
0                         0                        194.07648486263315       0.9946378693428078       -0.0030982227356435854   0.02186408542706353      -1.2963565013151594
0                         0                        194.7964965865935        0.9954872549318687       -0.00464874020380443     0.01194069770188344      -1.0630094945294104
0                         0                        195.78886460325467       0.996382571655761        -0.0067857664400759465   -0.0017363748619896313   -0.7413951393572944
0                         0                        193.137518234332         0.9932777665009745       -0.0010761943290635845   0.03480516625060304      -1.600664118669897
