% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 27 2026, 14:51
% Dimension:          3
% Nodes:              84
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% Length unit:        mm
% x                       y                        z                        V (V) @ TT1=0            es.Ex (V/m) @ TT1=0      es.Ey (V/m) @ TT1=0      es.Ez (V/m) @ TT1=0      es.normE (V/m) @ TT1=0
0                         0                        69                       0.21853043444477316      0.46178766431103213      -0.44313148834385174     -41.58979328942718       41.594717443686925
0                         0                        69.25                    0.22885621587766797      0.4383978771010675       -0.45721227524370534     -41.04651716004668       41.05140444288462
0                         0                        64.25                    0.015250293944549053     1.2464615294902215       -1.1907082799458655      -39.62231826622105       39.659797747115974
0                         0                        64.5                     0.025251484927688545     1.2162564224119805       -1.1543287698511477      -40.313957294235486      40.348815438813155
0                         0                        68.75                    0.20806310584260992      0.5025693296041709       -0.48307910801690923     -42.116009030829545      42.1217777170026
0                         0                        64.75                    0.035424492116124334     1.160384473087191        -1.1156987842911308      -40.99539083916027       41.0269831447324
0                         0                        69.95485538706568        0.25707508726861883      0.381197025280116        -0.3182139103263921      -39.010278934005555      39.0134391431174
0                         0                        69.96804755950575        0.25758944774952064      0.37947529880537445      -0.31626845771657486     -38.96936895772035       38.9724998454383
0                         0                        69.6832917316295         0.24636696594533752      0.4179627111735158       -0.3596745612257166      -39.86092240796381       39.864736219265716
0                         0                        70.03365276404134        0.26013917474954723      0.3694578809538598       -0.3052152947090008      -38.76461210824402       38.76757417487638
0                         0                        70.20432843816153        0.26671070082529413      0.36811672023469555      -0.28279748057616416     -38.244700035108615      38.247517110397816
0                         0                        70.91804322723883        0.29313581526227567      0.26185209732462056      -0.14407238264995215     -35.81149445290805       35.812741563904034
0                         0                        70.92380644830256        0.2933421482884624       0.26104709375566415      -0.14293698018619239     -35.79187592110418       35.79311328338428
0                         0                        70.75622413626623        0.28729626300384375      0.28445489952590464      -0.17595208889917302     -36.362341444128674      36.363879730122996
0                         0                        70.9247707839886         0.29337663735899056      0.2676103767843756       -0.18693575948827856     -35.76293399567908       35.76442377938216
0                         0                        70.96027639961122        0.2946442573717499       0.25997247631164555      -0.18165459711417498     -35.640982851323315      35.642393896726624
