% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 23 2026, 08:38
% Dimension:          3
% Nodes:              125
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% Length unit:        mm
% x                       y                        z                        V (V) @ SL=0.166         es.Ex (V/m) @ SL=0.166   es.Ey (V/m) @ SL=0.166   es.Ez (V/m) @ SL=0.166   es.normE (V/m) @ SL=0.166
-7.62                     -7.62                    68.95349981949636        0.17123570394428916      -0.21176715694292625     -0.8034866759006718      -33.246007208004876      33.25638933260527
-7.62                     -7.62                    69.12186373290743        0.17679862336881635      -0.24815286148893456     -0.8135518200557321      -32.82356464513664       32.83458302491513
-7.62                     -7.62                    69.19134108209315        0.17907310687276107      -0.25087543733789985     -0.8196048367768896      -32.651572455852865      32.66282098064001
-7.62                     -7.62                    69.31730758599143        0.18316640036588738      -0.2653146950279819      -0.8318117944321735      -32.35634735772399       32.36812501647951
-7.62                     -7.62                    63.90018702303068        -0.004572100797887838    0.1789803698191399       -0.4269092452271437      -32.12874008706194       32.132074708278985
-7.62                     -7.62                    64.04650018050364        1.5765605906785997E-4    0.17554469475974854      -0.443050804332753       -32.521658259036826      32.52514974404663
-7.62                     -7.62                    68.70847169828369        0.1630325457604963       -0.18811102399004476     -0.7706659335624213      -33.751999472025304      33.761320769455935
-7.62                     -7.62                    68.77529728711971        0.1652828874753823       -0.20371064887798607     -0.7909574795729668      -33.58640717938037       33.596336987565955
-7.62                     -7.62                    64.22470271288033        0.005986040394082524     0.16323674371848385      -0.41797286722917293     -32.90309748113704       32.906157044016034
-7.62                     -7.62                    64.2915283017163         0.008192135713247986     0.14977525847088202      -0.438589391170801       -33.09410799535611       33.0973530254368
-7.62                     -7.62                    68.4635979974894         0.15471363699911334      -0.15942884545347624     -0.7519806735907082      -34.2021417081653        34.21077885572962
-7.62                     -7.62                    68.47919278560063        0.1552467396879302       -0.16993525320765457     -0.7389081446999484      -34.17821914921399       34.18662790402534
-7.62                     -7.62                    64.52080721439904        0.015834776538212858     0.14068651719869152      -0.45500342421925666     -33.589568572122815      33.59294476037362
-7.62                     -7.62                    64.53640200251067        0.016358775147137627     0.13325255477731446      -0.4438634943040398      -33.61355590363525       33.6167504606222
-7.62                     -7.62                    67.94848386974917        0.13687355931450104      -0.10524116024242858     -0.6841149780201476      -35.03032677569331       35.03716431186771
-7.62                     -7.62                    67.95827411857633        0.1372164486775119       -0.10610340610008961     -0.6844466080713119      -35.015423464941236      35.02227299192963
-7.62                     -7.62                    68.03996018443955        0.14007142734063213      -0.10887130812028545     -0.6857470754891892      -34.88678625726729       34.89369509486674
-7.62                     -7.62                    68.06172784732097        0.1408304584091572       -0.10974346212574915     -0.6854668277755422      -34.85312116971528       34.86003390231162
-7.62                     -7.62                    68.43647373539457        0.1537853805554641       -0.1638948197542902      -0.7463186787564382      -34.25129562443021       34.25981764449886
-7.62                     -7.62                    64.95642950283136        0.030651555462189256     0.09912163773778859      -0.4631584167802245      -34.411393389369046      34.41465292307935
-7.62                     -7.62                    64.97633731836616        0.031336962647071975     0.10122459930064931      -0.4684561521055084      -34.4436910165182        34.44702524786902
-7.62                     -7.62                    65.02655956674401        0.03306915219033305      0.10153713745540038      -0.4658844143241634      -34.53738485492815       34.540676175998826
-7.62                     -7.62                    65.05060545460226        0.03390019497284439      0.10047774470473314      -0.4664109410840851      -34.58511563658675       34.58840641803582
-7.62                     -7.62                    64.58785052231525        0.0180906717054692       0.12136774374458525      -0.4521707579110199      -33.71229727969846       33.71554799196204
-7.62                     -7.62                    64.6161141075454         0.01904428266271979      0.12938816331314396      -0.44726126535886834     -33.77280433707641       33.77601362989338
-7.62                     -7.62                    67.42717117208967        0.11845514089873288      -0.05530259487824196     -0.6309378109996828      -35.592197912315896      35.597832702677465
-7.62                     -7.62                    67.4354054730881         0.11874817818494803      -0.05635213268575967     -0.63152930589942        -35.58285263191476       35.588501039684594
-7.62                     -7.62                    67.58500132174326        0.12406168266075568      -0.06937971033215717     -0.6465060444115807      -35.4486442659138        35.45460708992514
-7.62                     -7.62                    67.82012664649412        0.13236703493984203      -0.09065378920567468     -0.6696334668504846      -35.18361940899816       35.19010801072733
-7.62                     -7.62                    67.8337197525627         0.13284533055426068      -0.08489958513257534     -0.6759870842448663      -35.17757962313391       35.1841764806219
-7.62                     -7.62                    67.8119917738804         0.1320807805106163       -0.09095361063884866     -0.6696397027589391      -35.19573368907862       35.20222094986825
-7.62                     -7.62                    67.90029038896874        0.13518395080191975      -0.10241021117042237     -0.6827323535460152      -35.0879147817883        35.094705798054044
-7.62                     -7.62                    65.42060993345751        0.04679812833279565      0.07477032181832755      -0.4864124827726215      -35.11761559609386       35.12106366355434
-7.62                     -7.62                    65.48641455862538        0.04911168411544217      0.0736794208370597       -0.48468076188888887     -35.1979662920489        35.20138030240023
-7.62                     -7.62                    65.57547056711758        0.05225149643773125      0.06816455171052382      -0.4933388429787051      -35.31330009663286       35.31681176628139
-7.62                     -7.62                    65.09693143159885        0.03550386328310336      0.10179846627989253      -0.46965091135376724     -34.652720404686704      34.65605237691769
-7.62                     -7.62                    65.12095137471005        0.0363366621054867       0.10059878715701753      -0.4714909990755274      -34.68954317652759       34.69289307155514
-7.62                     -7.62                    65.22949270459796        0.04011089022566199      0.08752251235958397      -0.47547016098650374     -34.854635971493295      34.857988765410326
-7.62                     -7.62                    67.37171614472871        0.11648016409424432      -0.05201110976383916     -0.6276676902674581      -35.63683632059946       35.642401361666714
-7.62                     -7.62                    67.41286509176015        0.11794587480889107      -0.054203780293647696    -0.6307449037696102      -35.60353806844665       35.609165957303176
-7.62                     -7.62                    67.30458814974125        0.11408625293431554      -0.04721574228767622     -0.6199020677596536      -35.68514283941312       35.69055795822264
