% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 23 2026, 08:39
% Dimension:          3
% Nodes:              128
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% Length unit:        mm
% x                       y                        z                        V (V) @ SL=0.1665        es.Ex (V/m) @ SL=0.1665  es.Ey (V/m) @ SL=0.1665  es.Ez (V/m) @ SL=0.1665  es.normE (V/m) @ SL=0.1665
-7.62                     -7.62                    69.45349981949639        0.16867026985145026      0.12313513783834651      -1.0683458941809363      -33.03191549932623       33.049417041249185
-7.62                     -7.62                    69.74922250082231        0.1783287113951802       0.03375366134736879      -1.0889712578400967      -32.257440709847415      32.27583428603167
-7.62                     -7.62                    69.77472338142941        0.17915041105583115      0.02515024936964494      -1.0856620547621851      -32.18735375305944       32.20566776604366
-7.62                     -7.62                    69.92336843469214        0.18390622332959755      -0.004375794173796521    -1.0992930022298282      -31.810042650532665      31.82903199409359
-7.62                     -7.62                    69.94488656751673        0.18459015386078462      -0.007891251258456577    -1.102085364255771       -31.757856798481384      31.77697472785607
-7.62                     -7.62                    64.13417628004746        -0.015370048441227822    1.8575202510210111       -0.9438292749856521      -31.36154812410433       31.430683987526983
-7.62                     -7.62                    64.54650018050364        -0.0022079210174041583   1.7480345625042304       -0.9979518215469092      -32.496371436653746      32.558649990729094
-7.62                     -7.62                    64.07592862067524        -0.01719374539210001     1.845346946263291        -0.9744648301571175      -31.230622143379456      31.30026591771769
-7.62                     -7.62                    69.20847169828374        0.1605169348679044       0.20915484504417314      -1.0597419060514364      -33.56484721886963       33.58222398059288
-7.62                     -7.62                    69.27529728711959        0.16275424912334388      0.17356208793689465      -1.076875604750171       -33.387331150289356      33.40514430750984
-7.62                     -7.62                    64.72470271288034        0.0036166363398597275    1.6967680803736043       -0.976313692125891       -32.88579636201149       32.94401027057416
-7.62                     -7.62                    64.79152830171628        0.005821584094581972     1.6726503763309362       -1.0030964966164353      -33.07904730423185       33.13649547581296
-7.62                     -7.62                    68.96359799748939        0.15224100696722018      0.29315535163095774      -1.0544348201643743      -34.040889770241236      34.05847837469959
-7.62                     -7.62                    68.97919278560066        0.15277158939440838      0.2831733515685215       -1.058006212751934       -34.0030784915117        34.020712973028154
-7.62                     -7.62                    65.02080721439918        0.013462108184404162     1.6056979987892959       -1.0153016199084934      -33.58672623669109       33.64041145320816
-7.62                     -7.62                    65.03640200251064        0.013986064353246482     1.5967739964108105       -1.0061255396506326      -33.60923811101163       33.662187424465266
-7.62                     -7.62                    68.52136060474261        0.13701076406626636      0.44976261456451994      -1.0224286628612163      -34.797417960929636      34.81534063495183
-7.62                     -7.62                    68.54238715977161        0.1377420343861597       0.4447417854374578       -1.0203468149348964      -34.760949231577854      34.77876499185667
-7.62                     -7.62                    68.44848386974915        0.13447029694187124      0.4710650540177994       -1.0272859624595867      -34.92263555450427       34.940917171798866
-7.62                     -7.62                    68.4555591885829         0.1347173501704991       0.46834899617743986      -1.02716510241288        -34.910176007564736      34.9284240670687
-7.62                     -7.62                    68.93240842126689        0.15117850440483044      0.3023490695115072       -1.0497108206074017      -34.09523204676361       34.11272718633606
-7.62                     -7.62                    65.51098236300258        0.030163045546811824     1.4503091405158628       -1.0171594437823561      -34.523530039627175      34.56894757342461
-7.62                     -7.62                    65.55060545460226        0.03153249810339684      1.4363676862913195       -1.0136661699425389      -34.59897818286319       34.64361358941285
-7.62                     -7.62                    65.44563742533745        0.02791065979925368      1.4689932633130027       -1.0129717205848543      -34.414199752180565      34.460429444470776
-7.62                     -7.62                    65.06759157873354        0.015035204427152369     1.5949234230969864       -1.008932114423871       -33.674922037064704      33.727764511444356
-7.62                     -7.62                    67.93147440800092        0.11624820508236067      0.6511447982930463       -1.0168161715425867      -35.52854037860152       35.54905183136356
-7.62                     -7.62                    67.93601077544794        0.11640936387422901      0.6494461990407387       -1.0166430298743876      -35.523374576816536      35.543852981077556
-7.62                     -7.62                    67.92716912860661        0.11609523817273601      0.6522574009381117       -1.01739276823389        -35.53174766138034       35.55229415430093
-7.62                     -7.62                    67.97595754999294        0.11782775661618013      0.6361106361954967       -1.0188948218330438      -35.488190874625346      35.50851271108494
-7.62                     -7.62                    68.31199146030757        0.12969139041857863      0.5241628743233377       -1.0222025307598415      -35.093975470097746      35.112772021424526
-7.62                     -7.62                    68.33372012423378        0.13045386307649587      0.5079615462101401       -1.0293128730039003      -35.075353307961706      35.09412941791405
