% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 23 2026, 08:38
% Dimension:          3
% Nodes:              122
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% Length unit:        mm
% x                       y                        z                        V (V) @ SL=0.1655        es.Ex (V/m) @ SL=0.1655  es.Ey (V/m) @ SL=0.1655  es.Ez (V/m) @ SL=0.1655  es.normE (V/m) @ SL=0.1655
-7.62                     -7.62                    68.45349981949634        0.1727379475967937       -0.1140884196269738      -0.4858397841506985      -32.118994127033936      32.12287098308302
-7.62                     -7.62                    68.66152082041917        0.1793776331414449       -0.1571450473717202      -0.5626126473253832      -31.67687187563138       31.68225748557085
-7.62                     -7.62                    68.9535543642442         0.1885344157531846       -0.26126784556055327     -0.6021065490256206      -31.04613271056644       31.053069887945167
-7.62                     -7.62                    63.21872839842296        5.541414767126007E-4     1.6717530380578127       0.6337409131918013       -29.34807529977011       29.40248135049634
-7.62                     -7.62                    63.54650018050364        0.010322834726721755     1.5385990094261937       0.5596314652286223       -30.243104870477712      30.287387911396287
-7.62                     -7.62                    68.20847169828369        0.16481855111358498      -0.03524156416085589     -0.4428443563612632      -32.565418761786965      32.56844872299496
-7.62                     -7.62                    68.27529728711974        0.16698964793193483      -0.06921511485086906     -0.4765502491244966      -32.40417456058408       32.407752464878975
-7.62                     -7.62                    63.724702712880344       0.015747230567104083     1.5003880240367549       0.5270739730911969       -30.648584296964092      30.68981411810598
-7.62                     -7.62                    63.79152830171629        0.01780269687011503      1.4461344960917089       0.508664530310547        -30.851300257169548      30.88936341434074
-7.62                     -7.62                    67.96359799748936        0.15679856584172777      0.02596220443092534      -0.392811179441253       -32.949920421197675      32.95227200698022
-7.62                     -7.62                    67.97919278560076        0.15731203014322837      0.03818512364335902      -0.4036211767669897      -32.92655272476402       32.92904861204872
-7.62                     -7.62                    64.02080721439944        0.024934689409148933     1.367034339322963        0.4509754969319957       -31.379403599085972      31.412404110765713
-7.62                     -7.62                    64.03640200251061        0.02542412006891416      1.3569877828700463       0.46265679304293883      -31.405084961631303      31.43779299820978
