% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 10 2026, 11:18
% Dimension:          1
% Nodes:              1000
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% cln1x                   V (V) @ TL=0             es.Ex (V/m) @ TL=0       es.Ey (V/m) @ TL=0       es.Ez (V/m) @ TL=0       es.normE (V/m) @ TL=0
5.115                     -7.606704183535083E-4    0.003511609825180645     0.0063346953809270135    6.656387422297977        6.65639136285539
5.345000000000001         -0.002310896066325086    0.010534829475542018     0.01900408614278115      6.823835603541802        6.8238701982150065
5.575000000000001         -0.003899634795982742    0.017558049125903086     0.0316734769046354       6.991283784785629        6.991377579106624
5.805                     -0.005526663295092974    0.048487522870412025     -0.04525602348125757     7.1558173151088935       7.156124691112341
6.035                     -0.0071915845137777885   0.06234110083338673      -0.058186315904474206    7.321758499541679        7.322255088824923
6.265                     -0.008894672204882149    0.07619467879636055      -0.07111660832769129     7.487699683974463        7.488425051935033
6.495                     -0.010635926368406047    0.09004825675933725      -0.08404690075090748     7.6536408684072486       7.654632003736358
6.725                     -0.012415347004349472    0.10390183472231085      -0.09697719317412368     7.8195820528400315       7.82087358601023
6.955                     -0.014232934112712458    0.11775541268528666      -0.10990748559734076     7.985523237272817        7.987147636398813
7.1850000000000005        -0.016088687693494974    0.13160899064826115      -0.12283777802055695     8.1514644217056          8.153452168527187
7.414999999999999         -0.017996588828848224    -0.12770587676418987     -0.08423678495483133     8.473980803895014        8.475361661408959
7.645                     -0.019940953407215023    0.07362218206441451      0.14509579418635132      8.501375717844903        8.502932559484723
7.875                     -0.02190984496303393     0.1649813140855505       0.19780273056245257      8.619420419710728        8.62326812327795
8.105                     -0.02390570761963882     0.23939768933487837      0.40209841721085127      8.72819147957265         8.740727709685675
8.335                     -0.025928590855515608    0.3434534685955972       0.3157748552126449       8.862097528051624        8.874370210948697
8.565                     -0.027982272482542536    0.44750924785632495      0.22945129321443503      8.996003576530597        9.010049543250359
8.795                     -0.030066752500719683    0.5515650271170518       0.14312773121625         9.129909625009573        9.147675075527344
9.025                     -0.03218203091004695     0.6556208063777733       0.0568041692180401       9.263815673488548        9.287160286533666
9.254999999999999         -0.034339917985448526    0.6503950357200505       0.303086342547202        9.670682216373564        9.697266087078967
9.485                     -0.03658994434794646     0.7152366978386422       0.18959425414264874      9.894764414043115        9.922392469790388
9.715                     -0.038891509615908385    0.7800783599572392       0.07610216573808581      10.118846611712662       10.149156149093008
9.945                     -0.041239097745847685    0.8087037478347305       0.02214478546235732      10.229596588764235       10.261536849426697
10.174999999999999        -0.04358959081890654     0.7927238730057837       0.023136734261163916     10.20947361174766        10.240229385920872
10.405                    -0.04593545560725162     0.776743998176832        0.024128683059948308     10.189350634731081       10.218942205020275
10.635                    -0.04827669211088284     0.7607641233478786       0.025120631858737807     10.169227657714504       10.19767543374194
10.864999999999998        -0.050613300329800284    0.7447842485189277       0.026112580657532747     10.149104680697931       10.176429200042378
11.094999999999999        -0.05294528026400388     0.7288043736899761       0.027104529456338233     10.128981703681353       10.155203632824813
11.325                    -0.05527263191349369     0.7128244988610262       0.02809647825511785      10.108858726664772       10.133998861946518
11.555                    -0.05759535527826973     0.6968446240320834       0.029088427053905797     10.088735749648194       10.11281501822615
11.785                    -0.059913450358331885    0.6808647492031303       0.030080375852709285     10.06861277263162        10.091652233451146
12.014999999999999        -0.062226917153680235    0.6648848743741818       0.031072324651497674     10.048489795615037       10.070510640385141
12.245                    -0.06453575566431478     0.6489049995452261       0.03206427345029361      10.028366818598467       10.049390372775527
12.475                    -0.06683996589023553     0.6329251247162748       0.03305622224909488      10.008243841581887       10.028291565360885
12.705                    -0.06913954783144244     0.6169452498873227       0.03404817104788194      9.98812086456531         10.007214353878663
12.935                    -0.07143450148793559     0.6009653750583723       0.035040119846673434     9.967997887548737        9.986158875072737
