% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 10 2026, 11:19
% Dimension:          1
% Nodes:              1000
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% cln1x                   V (V) @ TL=-0.07         es.Ex (V/m) @ TL=-0.07   es.Ey (V/m) @ TL=-0.07   es.Ez (V/m) @ TL=-0.07   es.normE (V/m) @ TL=-0.07
5.08                      -5.577525797963403E-4    0.009214039137617647     -0.012253987569982666    7.002157228067225        7.00217401278365
5.24                      -0.0016877777300832756   0.027642117412851386     -0.03676196270994597     7.123157150519526        7.12330564552405
5.4                       -0.0028371628679625775   0.04607019568808424      -0.06126993784991053     7.244157072971824        7.244562662169648
5.56                      -0.004005907993434249    0.06449827396331864      -0.0857779129898738      7.365156995424121        7.365938870568097
5.72                      -0.005194013106498286    0.08292635223855105      -0.11028588812983853     7.486156917876421        7.487428474188263
5.88                      -0.006401478207154708    0.10135443051378434      -0.1347938632698027      7.60715684032872         7.609026041453664
6.04                      -0.007628303295403487    0.11978250878901697      -0.15930183840976664     7.72815676278102         7.730726477844792
6.2                       -0.008874488371244636    0.13821058706425227      -0.18380981354973125     7.8491566852333206       7.8525250004872165
6.36                      -0.010140033434678146    0.15663866533948534      -0.20831778868969586     7.97015660768562         7.974417114974527
6.5200000000000005        -0.011424938485704035    0.1750667436147184       -0.23282576382965914     8.091156530137917        8.09639859420324
6.68                      -0.01272920352432229     0.19349482188995193      -0.2573337389696242      8.21215645259022         8.218465459021502
6.84                      -0.014052828550532906    0.21192290016518545      -0.28184171410958925     8.333156375042517        8.340613960515041
7                         -0.015395813564335888    0.23035097844041985      -0.3063496892495521      8.454156297494816        8.462840563773076
7.16                      -0.01675815856573125     0.24877905671565337      -0.33085766438951625     8.575156219947113        8.585141932993494
7.32                      -0.01813986355471897     0.2672071349908878       -0.35536563952947997     8.696156142399415        8.70751491780171
7.48                      -0.01954092853129907     0.2856352132661186       -0.37987361466944414     8.817156064851714        8.82995654067057
7.640000000000001         -0.02096135349547152     0.3040632915413548       -0.4043815898094092      8.938155987304013        8.952463985340477
7.800000000000001         -0.022382361254170972    0.6962275183086324       -0.3273890264428827      8.847274792301512        8.88066369042197
7.960000000000001         -0.02380547385930238     0.7514853868428175       -0.33314282360076763     8.941632771841002        8.979338007560244
8.12                      -0.025243683741160067    0.806743255377           -0.3388966207586561      9.035990751380481        9.07826054146341
8.280000000000001         -0.02666699088537007     0.6674419468659769       0.006936331684971986     8.902583162729885        8.92757043290363
8.44                      -0.028095261351255583    0.6788488813089137       0.059203256062429516     8.950797660839278        8.976698702444493
8.6                       -0.029531246136838628    0.6902558157518683       0.1114701804398921       8.999012158948672        9.02613419627764
8.76                      -0.031040090540532625    0.7688804721456837       0.0383789479400346       9.563470499762296        9.594405563864582
8.920000000000002         -0.03258107146978901     0.7782452074660453       0.058936502771840815     9.688466601971543        9.71985206738358
9.08                      -0.034136769527052344    0.7647316036840479       0.07446812289057203      9.757759113820375        9.787963161472597
9.239999999999998         -0.035703554386211485    0.7512179999020789       0.08999974300930813      9.827051625669188        9.85613372934266
9.399999999999999         -0.03728142604726647     0.7377043961200958       0.10553136312803568      9.896344137518009        9.92436254541548
9.56                      -0.03887038451021727     0.7241907923381081       0.12106298324676512      9.965636649366852        9.992648416552225
9.719999999999999         -0.04047042977506386     0.710677188556132        0.13659460336549323      10.034929161215667       10.060990181021905
9.879999999999999         -0.042081561841806274    0.6971635847741409       0.15212622348422644      10.104221673064492       10.129386707507662
10.04                     -0.0437037807104445      0.6836499809921648       0.16765784360295455      10.17351418491332        10.19783689414891
10.2                      -0.04533731730562324     1.0290389102685806       0.23622491391108102      10.358778429048524       10.412445141796429
10.360000000000001        -0.047002530245227325    1.0615460975400084       0.24276906060309789      10.456383316002466       10.51293341485445
10.520000000000001        -0.048683359966744034    1.094053284811432        0.24931320729511874      10.553988202956415       10.613471470422937
10.68                     -0.050379806470173365    1.1265604720828533       0.2558573539871327       10.651593089910353       10.714057907061862
10.84                     -0.05209186975551533     1.1590676593543021       0.2624015006791498       10.749197976864298       10.814691374807847
11                        -0.05381954982276995     1.1915748466257288       0.2689456473711749       10.846802863818247       10.915370572861315
11.16                     -0.055562846671937186    1.2240820338971439       0.2754897940631933       10.944407750772188       11.01609424739572
11.32                     -0.05732176030301705     1.2565892211685714       0.2820339407552126       11.042012637726131       11.116861189481433
11.48                     -0.05909629071600954     1.2890964084400007       0.28857808744723723      11.139617524680075       11.21767023311735
11.64                     -0.06088491440902264     1.320515781032599        0.3399369676649364       11.155749987610525       11.238775594165656
11.8                      -0.06266643627853409     1.364183643438455        0.3657113161533836       11.113273381282387       11.202659819297706
11.959999999999999        -0.06444116189103301     1.4078515058443433       0.39148566464180945      11.070796774954246       11.166819069030606
12.12                     -0.06620909124651943     1.4515193682502243       0.4172600131302566       11.02832016862611        11.131255999961928
12.28                     -0.06797022434499335     1.4951872306560965       0.4430343616186825       10.985843562297974       11.09597328203235
12.440000000000001        -0.06972456118645477     1.5388550930619775       0.46880871010711544      10.943366955969843       11.060973598066662
12.600000000000001        -0.07147210177090374     1.582522955467855        0.49458305859554486      10.9008903496417         11.026259643294456
12.76                     -0.07321284609834011     1.6261908178737485       0.520357407083992        10.858413743313562       10.991834124850362
12.920000000000002        -0.07494679416876406     1.669858680279627        0.546131755572425        10.815937136985426       10.957699761253286
13.080000000000002        -0.07667394598217549     1.7135265426854955       0.5719061040608651       10.773460530657275       10.923859281864624
13.239999999999998        -0.07837333516522685     1.5756810046962064       0.3862023318994826       10.46195728388237        10.58699546989156
13.399999999999999        -0.08004065538700444     1.6171666703328107       0.4449575397000656       10.379545488337563       10.514189450273372
13.56                     -0.08169478972149488     1.6586523359693706       0.5037127475006311       10.297133692792757       10.442021662056591
