% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 27 2026, 14:50
% Dimension:          3
% Nodes:              84
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% Length unit:        mm
% x                       y                        z                        V (V) @ TT1=0            es.Ex (V/m) @ TT1=0      es.Ey (V/m) @ TT1=0      es.Ez (V/m) @ TT1=0      es.normE (V/m) @ TT1=0
0                         0                        69                       0.2180564624739865       0.3989500875438807       -0.8535781826316224      -42.02170206240072       42.03226381135555
0                         0                        69.25                    0.22848544827534742      0.3930541161463452       -0.8706203003656015      -41.443631116106594      41.4546382366744
0                         0                        64.25                    0.011505313713063818     0.5721515564683646       -1.3671345788242366      -40.400090424445025      40.42726457062759
0                         0                        64.5                     0.0217023938925545       0.5834890690570731       -1.3439052163301497      -41.10351294299644       41.12961605679372
0                         0                        68.75                    0.2074771776586442       0.4231457183203702       -0.890360049776973       -42.580251725707726      42.591661511871166
0                         0                        64.75                    0.032074204229648844     0.5719401064898827       -1.3212586065488723      -41.79473273038496       41.81952323730034
0                         0                        69.95485538706568        0.2569468531545668       0.36488238941103646      -0.7284929778507916      -39.30507551143853       39.313519330336796
0                         0                        69.96804755950575        0.2574650908209441       0.3637191651902185       -0.7264562622900996      -39.2623732892165        39.27077776965881
0                         0                        69.6832917316295         0.2461536662927974       0.3904442416935865       -0.7721451685730472      -40.19449538171263       40.203807206006495
0                         0                        70.03365276404134        0.2600336906562427       0.35521858641044446      -0.7152631924866171      -39.04763574826217       39.05580160754122
0                         0                        70.20432843816153        0.26665175197881374      0.35906305858247833      -0.6906257380456964      -38.50606923504179       38.513935894996784
0                         0                        70.91804322723883        0.29323041724333915      0.2689532322946775       -0.5402599256689058      -35.982063896706904      35.987124626665356
0                         0                        70.92380644830256        0.2934377312289956       0.2682813644451443       -0.5390372511495656      -35.96172703684988       35.96676726537339
0                         0                        70.75622413626623        0.287361631716893        0.28781786432157475      -0.5745900471568746      -36.55308002447566       36.55872880887731
0                         0                        70.9247707839886         0.29347238517349883      0.2745462069481164       -0.5809819532848906      -35.93385645144872       35.939601488095484
0                         0                        70.96027639961122        0.2947460097027442       0.2672957868884964       -0.574236786613028       -35.8082895111927        35.81389105699325
0                         0                        71.5550913401507         0.31537532567906074      0.25645659885683614      -0.5374595647943927      -33.549577087638305      33.554861876191225
0                         0                        72.00000000000001        0.32992385852253114      0.23018594643488655      -0.49517428234243965     -31.85051131881451       31.855191953742185
0                         0                        70.97690329222559        0.29534054908869334      0.2553050486583288       -0.6023176679676681      -35.71945106998598       35.72544124265142
0                         0                        71.01223891684464        0.2966003345978212       0.28442873550952186      -0.5819016859917099      -35.62456055698692       35.63044799263927
0                         0                        71.06097670135831        0.29833205147181646      0.2823572088181159       -0.572348053507568       -35.438040719409926      35.443787014345425
0                         0                        70.96198686850451        0.29480721819624156      0.2559560486131147       -0.6077255357301397      -35.78154003275992       35.78761588792415
0                         0                        63.70088025061911        -0.010207181785546547    0.565807547868491        -1.425550886703931       -38.62063496490811       38.65107732786358
0                         0                        63.68986430179661        -0.010632422266686446    0.5658346383255868       -1.4256596586597254      -38.58387787224014       38.61435362608315
0                         0                        63.686159287262626       -0.010775464526046018    0.5671713454611922       -1.4396716548895405      -38.60101404066965       38.63201551533365
0                         0                        63.31603464227842        -0.024813745082888864    0.5432015125320433       -1.4524773792690056      -37.245834610001076      37.27810287844674
0                         0                        63.12401483948578        -0.03189926495957352     0.5540311926887478       -1.4499162991795842      -36.55405241869435       36.586991623605144
0                         0                        62                       -0.07049334864788526     0.5255119513707811       -1.5559837121859879      -32.108018868806994      32.14999414935075
0                         0                        62.310698779580214       -0.0603264861177069      0.574788005300805        -1.4214190494190078      -33.31151019753383       33.34677683083463
0                         0                        62.616042757425895       -0.0499679783738041      0.5518290069744403       -1.3901174916632115      -34.53661189078001       34.568981801434845
0                         0                        62.64229797530923        -0.049059829225113996    0.5767757934690503       -1.4860553073498455      -34.66066587333563       34.69730233714788
0                         0                        62.818727829397304       -0.04288242018692377     0.5677860023333066       -1.4676995166648195      -35.366133957339144      35.40112927441893
