% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 23 2026, 09:43
% Dimension:          3
% Nodes:              84
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% Length unit:        mm
% x                       y                        z                        V (V) @ W=0.014          es.Ex (V/m) @ W=0.014    es.Ey (V/m) @ W=0.014    es.Ez (V/m) @ W=0.014    es.normE (V/m) @ W=0.014
0                         0                        69                       0.19166877967380308      -0.10491076242124109     -0.06787295571280083     -38.9928376833239        38.99303788632316
0                         0                        69.25                    0.20133531749579042      -0.12292384112782884     -0.09341005215640052     -38.29716984020381       38.297481033065054
0                         0                        64.25                    -0.001048133485410588    0.2801453030135449       0.11748297239620369      -37.26300495471185       37.26424320839595
0                         0                        64.5                     0.008374807353793642     0.2223429302223181       0.1142228836304966       -38.01703168873688       38.01785345950227
0                         0                        68.75                    0.1818406215390584       -0.10133278941071922     -0.05091834902697201     -39.596988390982354      39.597150789521066
0                         0                        64.75                    0.01797916594062339      0.20883115677162584      0.10514944673111545      -38.743279300796345      38.7439847955486
0                         0                        69.75636298763506        0.22034280215992602      -0.15993140597331035     -0.10515181279848118     -36.79948329222593       36.79998105343489
0                         0                        70.00474194322553        0.22936761470082276      -0.15909892604270226     -0.11124527947850993     -35.90953593918147       35.91006069819208
0                         0                        70.31928258148014        0.2404859443893105       -0.1937099705736074      -0.12652497761689574     -34.78583872947103       34.78660817377037
0                         0                        69.98624654876872        0.22870286850091354      -0.17246397048559547     -0.11478828876273894     -35.98299736465475       35.98359375489201
0                         0                        69.98108037635348        0.22851692960515868      -0.17217057676794045     -0.11433022623644717     -36.00023540818506       36.00082865091966
0                         0                        70.39865999854669        0.2432319944210438       -0.18227833919226555     -0.10680901638200879     -34.46775324845095       34.46840071072373
0                         0                        71.26635680972868        0.2717294390685346       -0.1577096664455695      -0.14299002448123588     -31.163211510011152      31.16393861667172
0                         0                        71.40228351172578        0.275929738736546        -0.14450605557834706     -0.16856035075350917     -30.591778824727967      30.592584497767092
0                         0                        71.49305432379907        0.2786895332098229       -0.14036849565289344     -0.16191746375949378     -30.216192597818377      30.216952455336994
0                         0                        71.52582133510947        0.2796774062350111       -0.1277425102288845      -0.16895359443680036     -30.08849534319046       30.08924085920392
