% Model:              ElectrodesShort.mph
% Version:            COMSOL 5.5.0.292
% Date:               Mar 23 2026, 09:44
% Dimension:          3
% Nodes:              83
% Expressions:        5
% Description:        Electric potential, Electric field, x component, Electric field, y component, Electric field, z component, Electric field norm
% Length unit:        mm
% x                       y                        z                        V (V) @ W=0.0142         es.Ex (V/m) @ W=0.0142   es.Ey (V/m) @ W=0.0142   es.Ez (V/m) @ W=0.0142   es.normE (V/m) @ W=0.0142
0                         0                        69                       0.1752479843684806       0.3561356164759104       0.3177036696636151       -38.51390278439328       38.51685963165659
0                         0                        69.25                    0.18479554736819687      0.3355175588727093       0.3130323802762973       -37.817065348721975      37.819849191832084
0                         0                        64.25                    -0.016834026850734915    0.4745274435142832       1.1781185368414597       -37.63821988659343       37.65964333093259
0                         0                        64.5                     -0.007319429072302632    0.4821657693474872       1.1359973354459978       -38.36398897951129       38.383832849200125
0                         0                        68.75                    0.16553838817505034      0.39155901438175533      0.3631855957821699       -39.14827583705136       39.151918513051015
0                         0                        64.75                    0.0023643837990072166    0.49215251679800587      1.0671353285611316       -39.03338623458025       39.05107210880609
0                         0                        69.76234232949437        0.20377986237867574      0.2970304466012692       0.26331440003417583      -36.304676026920234      36.30684595195664
0                         0                        69.80032954418222        0.2051550444273753       0.3050336027125695       0.24786148127110863      -36.137173192260434      36.139310551532496
0                         0                        70.13736882027544        0.21714698843893881      0.2796113469463126       0.22347007609986846      -35.019832115592436      35.02166133672891
0                         0                        70.34608873713715        0.22437649499219736      0.27000468106361186      0.2129031481724084       -34.27987753853053       34.2816019802889
0                         0                        70.8144088844089         0.24002555056710914      0.20142244185264246      0.14730565938916662      -32.55515023677007       32.556106599162625
0                         0                        71.05066751104948        0.24761440886328318      0.18301524407328884      0.11764543746053135      -31.689084930855323      31.68983178850087
0                         0                        70.60245028327583        0.233043206978223        0.2298714092438523       0.17576151666289874      -33.333320435688236      33.33457640714516
0                         0                        71.69361234712252        0.26716879464369986      0.12128609891087194      0.1261311769036837       -29.138484351294707      29.13900975809272
0                         0                        71.7380306318034         0.26846011709598816      0.11243902028259711      0.12990244221813896      -28.985007225298915      28.985516400926976
0                         0                        72.00000000000001        0.27591909987824814      0.07936184740357888      0.08868687251312224      -27.960450433416597      27.96070371259861
0                         0                        63.78421647179608        -0.03404998145663708     0.4174995854838066       1.2674859979668085       -36.26563618432111       36.29018041443803
0                         0                        63.46216991729904        -0.045534310247274196    0.3842960702993352       1.3450442194283934       -35.13213592232209       35.15997442954672
0                         0                        63.479077891955406       -0.04494025395767488     0.3709582026065732       1.3316616830127677       -35.16374511256566       35.19090654086039
0                         0                        63.77093352330253        -0.034531094632744536    0.4179837757718019       1.274675568414537        -36.19689299531922       36.22174168584541
0                         0                        63.13585149043717        -0.05679614178323538     0.34487839609776927      1.4184972879350326       -33.867649244466556      33.89909646303556
0                         0                        63.136000942799654       -0.056791080142661134    0.34490942743642705      1.418490357685279        -33.868189655091626      33.89963639806829
0                         0                        63.18174094920201        -0.05523816639089939     0.34633283227324796      1.3880034901508438       -34.075094767678294      34.10511081268668
0                         0                        63.46149538860458        -0.04555800702354011     0.38420475557692413      1.3451475513380373       -35.12959337261733       35.15743684847515
0                         0                        62.427329147947475       -0.07985771152308378     0.2198649375438535       1.639478653061353        -31.14241803607233       31.18631802534708
0                         0                        62.597825952109304       -0.07449115910125666     0.24776644926049585      1.5801147453450377       -31.81402343440687       31.85420282956121
0                         0                        62.59794934525635        -0.07448723476993128     0.2626298203155457       1.5806882747737263       -31.803727682668416      31.844067647803026
0                         0                        62.31134135956529        -0.08344367426914794     0.19306995757164813      1.686564049849494        -30.691035227960565      30.73794751877031
