Cs Rydberg State (n), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz)
61, -0.0048064832286874625, -0.017585215789232368
61, -0.0018128863085128681, 0.010683578858066221
61, 0.017292587224964885, 0.017014941196230343
61, 0.008411151409672968, -0.0029656732046976337
61, 0.016282327701625274, -0.014533505913119802
61, -0.01314073853022501, -0.004680061577011089
61, -0.0071779579706464595, -0.002435473836219963
61, -0.004523982183688697, -0.001735369510666342
61, -0.0025675235437784927, -0.001366981252946068
61, -0.0018283289738942117, -0.0011477813656782956
62, -0.001639650732748245, 0.04013018468503798
62, -0.006807242218577694, -0.022469780936941592
62, -0.0031648565968656664, 0.013015018843295475
62, 0.019583912851868324, 0.020504652016394845
62, 0.010235211116537787, -0.004079098650589029
62, 0.01963419332030037, -0.019142828322458012
62, -0.018460022233397745, -0.0070512276505137654
62, -0.01092505810488161, -0.003042117331244405
62, -0.005725081452963109, -0.002148939763302936
62, -0.0032124373529074574, -0.001688259600521484
62, -0.00226553314986205, -0.0014107382958503673
63, -0.0020842089719219827, 0.031846168029773324
63, -0.010083210731080509, -0.028247035530486835
63, -0.004998740404227157, 0.015798756718367196
63, 0.022062577085448662, 0.024634277328242672
63, 0.012408818407336188, -0.005433065418236443
63, 0.023639622922935585, -0.024928187236466323
63, -0.0253591329109647, -0.019426133234083827
63, -0.01578925933875612, -0.003853080174065765
63, -0.0072263361439924255, -0.002658010821224645
63, -0.003990234670024101, -0.0020791726261424276
63, -0.0028023086028422153, -0.0017314783422265976
64, -0.002639519273198673, 0.02747657173475211
64, -0.016160248862087695, -0.034867598203369064
64, -0.007460525062526411, 0.019111268913156586
64, 0.02469227700766349, 0.029507010708188106
64, 0.01498854202297478, -0.00707103833428122
64, 0.028419584945857154, -0.03193111358473213
64, -0.033814265355059485, -0.0036497759635208795
64, -0.02215388766615002, -0.0047287019149181275
64, -0.00909604913421144, -0.003280663486224777
64, -0.004943356276614784, -0.002804275955072835
64, -0.0036950786304918025, -0.0023893034167577726
65, -0.0033290830142761723, 0.02516795448703096
65, -0.028412800344522607, -0.042211772366894454
65, -0.010724739519340425, 0.023039732714471815
65, 0.027438398003708987, 0.03523553041751355
65, 0.018039770320938227, -0.009007387741705584
65, 0.034094135684959274, -0.04005844808298871
65, -0.04357707941402821, -0.006531410887361305
65, -0.03029611965495869, -0.006149370687830413
65, -0.011654016429701916, -0.00480174213980987
65, -0.006556398683731314, -0.003946397042813195
65, -0.005041443722419391, -0.0034770729540230887
66, -0.004185589622555719, 0.024012014250174907
66, 0.00913369716863336, -0.05010466384693619
66, -0.014953314423280833, 0.027680432665008876
66, 0.030241535322617436, 0.04194376511927951
66, 0.021630682229327066, -0.011464718625624374
66, 0.04076007473937253, -0.049012789874410434
66, -0.05433472545158867, -0.00989575875587647
66, -0.040638191399307244, -0.008189979471877317
66, -0.015072454942081438, -0.005867959083908682
66, -0.008383268470806615, -0.00431560894799636
66, -0.006145404490721168, -0.003684265078881046
67, -0.0052469992661896255, 0.0235660749794577
67, 0.0013357799133325381, -0.05834342308507601
67, -0.020298705450128286, 0.032898571016547036
67, 0.033059856153854615, 0.04952742320601935
67, 0.025600655053796148, -0.014399786171497822
67, 0.04829914955246509, -0.058511032101707015
67, 0.05962602053243648, -0.013125633840296337
67, -0.05261449965793863, -0.009718891039789752
67, -0.018484526950513537, -0.006408423986375341
67, -0.00977654275459457, -0.004995904543480643
67, -0.006776928840272802, -0.004187571238184104
68, -0.00654713780121021, 0.023600863340711493
68, -0.004256149781769365, -0.06692604709904015
68, -0.027022736093613182, 0.038804768005241616
68, 0.03534831035309543, 0.058172024737396244
68, 0.02998857936260758, -0.01670876561099072
68, 0.057158522045793664, -0.06744964994120278
68, 0.05566530929005607, -0.018296566866792215
68, -0.06557709646126691, -0.01194428534963704
68, -0.022569392133902775, -0.007851373541673298
68, -0.011702391524179907, -0.006073588411020581
68, -0.008196687830132015, -0.00506848891299329
69, -0.008398289205097227, 0.02338826448973588
69, -0.00986089868847108, -0.07554639102380514
69, -0.03508539156885681, 0.0466441993097841
69, 0.037606767485820196, 0.06900080858226387
69, 0.03588123768152281, -0.018729932386046387
69, 0.06783865079587487, -0.07587906503869594
69, 0.05260860376525615, -0.029943173335286146
69, -0.07940475374654263, -0.015138541317730634
69, -0.02793456810105564, -0.00962228889095039
69, -0.014265444413366395, -0.007377024827630724
69, -0.009960410874976173, -0.006120942941965917
70, -0.01092252042237981, 0.02424642658279173
70, -0.015836481001163857, -0.08332235874748968
70, -0.0437278836488471, 0.05551360279323029
70, 0.04067000544370742, 0.08128675806864534
70, 0.042852696546562506, -0.019309297371191497
70, 0.07978119392598026, -0.08371172049335053
70, 0.04968633820499693, -0.001759995131320413
70, 0.07015591864682737, -0.019410205256885932
70, -0.034381026487706766, -0.011807525276709873
70, -0.017319627942959517, -0.008960846175780132
70, -0.012083047086919513, -0.00740341487993796
71, -0.013201822369675223, 0.025386991622970055
71, -0.022043461199091376, 0.12455785986442779
71, -0.05296678498944285, 0.06564641909220183
71, 0.043554143071707276, 0.09509954458996009
71, 0.05050231862762009, -0.030281693429667796
71, 0.09295182711747206, -0.09057763640267238
71, 0.046750614064555385, -0.005497142850631094
71, 0.0651648255399879, -0.02531919674504015
71, -0.042038541246158315, -0.014497658120840532
71, -0.0209632479268385, -0.010867396224186511
71, -0.014640466437670228, -0.008925768876119079
72, -0.015860319556842993, 0.02660179494400301
72, -0.02940154494852922, 0.12572738422569485
72, -0.0630017304902553, 0.07732061544772914
72, 0.046254834987563255, 0.11073476470781489
72, 0.059268876072286814, -0.031862552238369604
72, 0.1074720186711134, -0.09636778994710486
72, 0.04361587726078463, -0.00982722847548087
72, 0.06092979806872607, -0.03376366978417524
72, -0.05096717392150113, -0.01776919663363264
72, -0.025260779014040866, -0.013187882731938601
72, -0.01774403839947133, -0.010771683903042423
73, -0.01949370860056824, 0.02812101677582955
73, -0.03810201331151839, 0.12749087817734506
73, -0.07329204182784729, 0.09073977171244188
73, 0.04911065126846916, 0.12829705170078065
73, 0.06929740932765541, -0.03319535571562422
73, 0.12336185220052376, -0.10102554068258982
73, 0.040048296442279474, -0.010929174635956605
73, 0.057039042596708174, -0.046228932361633716
73, -0.061216261700629854, -0.0226322130137123
73, -0.030328799730217192, -0.015986634403100795
73, -0.02161546147883617, -0.013017483627072654
74, -0.02385759320925474, 0.029995510741039424
74, -0.047862396989669986, 0.1298441409463307
74, -0.08362160575800136, 0.1060789745555073
74, 0.05225741500422461, 0.14785464826441821
74, 0.08069829107769672, -0.03752258246635915
74, 0.14053828279591207, -0.10452363060512926
74, 0.03599473725904745, -0.013546475705732768
74, 0.05317413960306942, -0.06467162024229893
74, -0.07271707769708308, -0.02784136457327579
74, -0.036272499891631796, -0.019458807025053267
74, -0.026907953760662507, -0.0160283581612304
75, -0.029078176547216297, 0.03227046723329777
75, -0.05858771482514219, 0.1328392408632671
75, -0.09386523651716909, 0.12350569125683325
75, 0.05580968143043248, 0.16943030294935169
75, 0.09358276457522811, -0.03681208746016153
75, 0.1590051340414141, -0.10678833167296078
75, 0.2345405878284572, -0.01483409232538813
75, 0.04907454247413603, -0.09038340252948335
75, -0.08540069046776436, -0.03492700665299378
75, -0.04318353134473638, -0.023736786776879185
75, -0.03739814653077932, -0.01765559240697996
76, -0.03524152854170647, 0.034950107281518934
76, -0.07003085914851673, 0.13658082517249343
76, -0.10387470809087225, 0.14316105152829
76, 0.05989278776792744, 0.19308417825482377
76, 0.10805049071949226, -0.03626755491058243
76, 0.17875726928769067, -0.10781686528700575
76, 0.23469477060848865, -0.015360055274926633
76, 0.0445453156865816, -0.12273925230527592
76, -0.0991193366907591, -0.04427805836475196
76, -0.051138273577438456, -0.02907719740221313
76, -0.023030649977959335, -0.02209531072876089
77, -0.04248857045527597, 0.03779431948922393
77, -0.08186619182119487, 0.1412784472103152
77, 0.06979820224872693, 0.1652064559401231
77, 0.06464522657200261, 0.21879065269208248
77, 0.12422342357364195, -0.0330463528756303
77, 0.19977037959957428, -0.1075679849589335
77, 0.23742444003450797, -0.01504955629319457
77, 0.039446642286210074, 0.00918553290030603
77, -0.11373553461675873, -0.05666536350804932
77, -0.06023542476587186, -0.035750500830310006
77, -0.03479174930724612, -0.026838312513529448
78, -0.050887706897446844, -0.18656430745014466
78, -0.0937650025005555, 0.14714574441026645
78, 0.06496305948506008, 0.1897130815187801
78, 0.07019403342395916, 0.2465443920408962
78, 0.14216480410364063, -0.027887700656675035
78, 0.22203732314292696, -0.10595190071993207
78, 0.24259412418709164, -0.01385110064261639
78, 0.03372526584727912, -0.014837308840347311
78, -0.12910402543932364, -0.0731234136703868
78, -0.07049957887857995, -0.04415617202669118
78, -0.04302062628606419, -0.03260295041561432
79, -0.060496193959947, 0.05251776595378186
79, -0.10539384706295216, 0.1544475533275948
79, 0.05970413016928034, 0.21674285854830094
79, 0.0766600938493828, 0.27633241751353554
79, 0.16193099846660364, 0.2940432309903949
79, 0.2455491444799159, -0.10289812265532625
79, 0.2502655635076208, -0.011593465380065978
79, 0.02736878921782811, -0.04248597460537052
79, -0.14523950802343039, -0.09459893243681018
79, -0.08201153112324457, -0.05477408251446634
79, -0.05136171282510808, -0.039685812117501856
80, -0.07132302569395117, -0.1815381531501639
80, -0.11641821391470539, 0.16349884111476584
80, -0.13976357242471274, 0.2463311289478492
80, 0.08415393217374333, 0.3081597685955383
80, 0.18357668798253518, 0.3071893917649096
80, 0.27035134647212866, -0.09829076924187177
80, 0.25999214752384825, -0.008142386435654266
80, 0.020240388361236508, 0.08810094789301112
80, -0.16201051848419978, -0.12181798277271952
80, -0.09478218488315386, -0.06792861599835108
80, -0.06045766680059494, -0.04836195163753225
81, -0.08333868801719319, -0.1777125192256215
81, -0.12641685058866686, 0.1746498563873605
81, 0.23937762080024566, 0.2784665217161198
81, 0.0928618901797822, 0.3420052207356276
81, 0.20711554533861756, 0.3233011874535255
81, 0.2963523203867886, -0.09196914026651588
81, 0.27175671907774857, -0.0033122055944420636
81, 0.012429326879830867, 0.0807530766290604
81, -0.1794205167117423, -0.15448959017345876
81, -0.10894826248981734, -0.07692231931776143
81, -0.07037897295081598, -0.059010422973536786
82, -0.09649267485848342, 0.08093819342707975
82, 0.06442375691369562, 0.18825045323968942
82, 0.23318528547584988, 0.3131082929139411
82, 0.1028623561484125, 0.37785062757986565
82, 0.23252950421678997, 0.34243727465695306
82, 0.07155411578563338, -0.08375901872974652
82, 0.2854816445791447, 0.0031764890069103514
82, 0.40498870135457127, 0.07762725873565697
82, -0.19746538121582038, -0.19167930490743812
82, -0.1239645592888737, -0.11105299486211505
82, -0.08122490024318228, -0.07219608071997306
83, -0.11077198393281035, -0.1669565936623089
83, -0.26463680416637586, 0.2046363280620875
83, 0.23258412907876055, 0.35015620474742676
83, 0.11429584110866553, 0.41563228476138736
83, 0.25975118518467927, 0.36458545350484467
83, 0.08657216700915535, -0.07327028652757607
83, 0.3010247472499068, 0.011640769570298385
83, 0.39241953325386436, 0.07733441815401755
83, -0.21596075918392746, -0.23207097522585524
83, -0.14014473240380257, -0.13696504934252984
83, -0.09311489125484658, -0.08999237012052953
84, -0.12598540625861315, -0.15971913360823597
84, -0.27621583599330674, 0.22415531029654256
84, 0.23229161442164892, 0.38959843250224746
84, 0.1272336088465171, 0.45534784980341725
84, 0.2886421688262571, 0.3897147035913562
84, 0.10306713776132949, -0.059911393855991986
84, 0.31818007931551945, 0.022173885495007463
84, 0.3792185629395714, 0.07896805367947299
84, -0.23495997820023337, -0.27424251364049884
84, -0.15744749773177508, -0.1680669486763798
84, -0.10592873733421077, -0.10781848886126573
85, -0.14220567640109724, -0.15101085048592985
85, -0.28901315617415774, 0.24694193976467332
85, 0.23280872455071036, 0.4311992736939722
85, 0.14179720682602726, 0.49711314069319584
85, 0.31926310146375203, 0.41802941883885325
85, 0.12126994096162932, -0.042994613966857075
85, 0.3372741136851556, 0.03526449457542852
85, 0.36433607736643464, 0.07924753146091292
85, -0.2543700364419746, 0.1919236240322367
85, -0.17561605801529137, -0.2029268941529192
85, -0.11955677900006939, -0.12983474571620832
86, -0.15929839164684229, -0.14057256566340942
86, -0.30325954270235084, 0.2734076952409249
86, 0.233958537607732, 0.4752024759923083
86, 0.15823478888691833, 0.5409021666264011
86, 0.3515472784232854, 0.1465038454030461
86, 0.1413061133570554, -0.031103448048823652
86, 0.35792520388215626, 0.05069571590934128
86, 0.34878870916069155, 0.1118421466083839
86, -0.27405633779330024, 0.18325492662302478
86, -0.19461664788367122, -0.24013893688810098
86, -0.13395952834189948, -0.15306655606567882
87, -0.1770736461784725, -0.1278865841638013
87, -0.3188229814297163, 0.3035714782146927
87, 0.23497816138961158, 0.5212442543434981
87, 0.17664665035975735, 0.5865113492509925
87, 0.385116415346703, 0.16858774623299502
87, 0.1629348032978702, -0.010811479946421664
87, 0.3800317128870786, 0.0672624694019284
87, 0.44739701864435705, 0.1192092623630816
87, -0.29382387476812216, 0.17798129254027456
87, -0.21421359162878933, -0.27798823639676673
87, -0.14887668676217794, -0.1680261118447349
88, -0.1955814257759542, -0.11287472762206696
88, -0.3355619176337929, 0.33724104835961843
88, 0.42646476999335, 0.5692430256820139
88, 0.19686393893547352, 0.6339098353757514
88, 0.4197528621894521, -0.3732525856300649
88, 0.18622222143402356, 0.32597006382513466
88, 0.4035702932919591, 0.08948767999538106
88, 0.3316087100957842, 0.13156212848298093
88, -0.31334586392645414, 0.19101374769860174
88, -0.23422234452620372, 0.29530988311974127
88, -0.16405954376358983, -0.225753040311043
89, -0.21465765366098738, -0.09537107704121453
89, -0.35331555640825196, 0.3742716745051292
89, 0.25633136440246956, 0.6190739649356077
89, 0.21899587447159982, 0.6830329815379235
89, 0.4551037833350419, -0.34201831184614256
89, 0.21097062745185322, 0.33831530453554154
89, 0.42838013356933585, 0.1121485895991356
89, 0.4896557806254889, 0.1476497345645639
89, -0.3321220958458461, 0.1975021040921186
89, -0.2544823117109121, 0.29244889290845605
89, -0.17922333806245022, -0.2500215192816226
90, -0.23421267281803546, 0.2220139861344028
90, -0.371856208462793, 0.4143897322756272
90, 0.2627373413378933, 0.670621411552624
90, 0.24297135091754044, -0.26781805452032736
90, 0.4904971344401637, 0.5979102895584033
90, 0.23677877167923506, -0.3835452110404321
90, 0.4543796510754494, 0.14313519195343452
90, 0.49156046915947943, 0.17127282396786653
90, -0.3492059811429751, 0.2083124596351919
90, -0.2744547839901618, 0.30655689852761125
90, -0.19377635210332275, 0.3823412800315824
